index,action,cost,probability,feature_arrival,feature_workload
341,3,-1363,0.1,0.2,2000
342,10,-548,0.1,0.22,1000
343,8,-824,0.1,0.22,2000
344,5,-1467,0.1,0.25,2000
345,7,-2433,0.1,0.38,4000
346,5,-2957,0.1,0.41,4000
347,4,-3088,0.1,0.42,4000
348,5,-3626,0.1,0.46,5000
349,5,-2871,0.1,0.39,4000
350,1,75406,0.1,0.52,2000
351,4,44747,0.1,0.59,36000
352,4,4832,0.1,0.41,18000
353,7,-2894,0.1,0.43,5000
354,2,39031,0.1,0.39,5000
355,7,4908,0.1,0.36,24000
356,2,-1660,0.1,0.26,5000
357,6,-655,0.1,0.15,3000
358,6,-122,0.1,0.11,1000
359,6,24,0.1,0.1,2000
360,4,-102,0.1,0.08,0
361,6,387,0.1,0.05,0
362,4,-277,0.1,0.1,0
363,7,-327,0.1,0.15,1000
364,10,122,0.1,0.15,1000
365,3,-1213,0.1,0.2,0
366,9,-659,0.1,0.22,2000
367,10,-619,0.1,0.22,2000
368,10,-913,0.1,0.25,3000
369,1,52650,0.1,0.38,3000
370,3,28784,0.1,0.41,30000
371,6,1064,0.1,0.42,14000
372,4,-3164,0.1,0.46,5000
373,7,-2691,0.1,0.39,7000
374,9,-3493,0.1,0.52,4000
375,2,72062,0.1,0.59,4000
376,10,9045,0.1,0.41,44000
377,2,46866,0.1,0.43,3000
378,3,38753,0.1,0.39,30000
379,5,-622,0.1,0.36,11000
380,9,-1191,0.1,0.26,3000
381,7,-320,0.1,0.15,2000
382,10,442,0.1,0.11,2000
383,9,417,0.1,0.1,1000
384,4,-96,0.1,0.08,1000
385,6,475,0.1,0.05,0
386,4,-353,0.1,0.1,1000
387,7,-321,0.1,0.15,1000
388,10,87,0.1,0.15,1000
389,10,-407,0.1,0.2,2000
390,1,25468,0.1,0.22,1000
391,8,1445,0.1,0.22,10000
392,2,-1070,0.1,0.25,3000
393,10,-2090,0.1,0.38,4000
394,3,-1621,0.1,0.41,4000
395,10,-2685,0.1,0.42,6000
396,2,51219,0.1,0.46,3000
397,7,6493,0.1,0.39,25000
398,9,-3380,0.1,0.52,2000
399,2,75777,0.1,0.59,5000
400,7,10791,0.1,0.41,42000
401,8,-2721,0.1,0.43,4000
402,7,-2567,0.1,0.39,5000
403,1,50030,0.1,0.36,3000
404,3,9446,0.1,0.26,28000
405,10,34,0.1,0.15,2000
406,2,-702,0.1,0.11,2000
407,1,-722,0.1,0.1,1000
408,4,-69,0.1,0.08,1000
409,6,441,0.1,0.05,0
410,6,-59,0.1,0.1,1000
411,1,7624,0.1,0.15,0
412,6,1228,0.1,0.15,6000
413,2,-1439,0.1,0.2,2000
414,2,-372,0.1,0.22,3000
415,4,-1482,0.1,0.22,3000
416,6,-1527,0.1,0.25,3000
417,7,-2374,0.1,0.38,3000
418,5,-3019,0.1,0.41,4000
419,9,-2621,0.1,0.42,4000
420,6,-3214,0.1,0.46,3000
421,6,-2652,0.1,0.39,5000
422,7,-3913,0.1,0.52,4000
423,2,75307,0.1,0.59,6000
424,2,64245,0.1,0.41,34000
425,6,6155,0.1,0.43,23000
426,5,-2979,0.1,0.39,4000
427,2,29838,0.1,0.36,6000
428,7,2507,0.1,0.26,13000
429,6,-446,0.1,0.15,2000
430,3,-494,0.1,0.11,2000
431,4,-234,0.1,0.1,1000
432,2,-511,0.1,0.08,0
433,6,445,0.1,0.05,0
434,6,-46,0.1,0.1,0
435,3,-872,0.1,0.15,1000
436,3,-951,0.1,0.15,1000
437,7,-813,0.1,0.2,3000
438,5,-1382,0.1,0.22,2000
439,7,-1059,0.1,0.22,1000
440,7,-1182,0.1,0.25,2000
441,8,-2168,0.1,0.38,1000
442,8,-2603,0.1,0.41,5000
443,6,-3060,0.1,0.42,4000
444,8,-3091,0.1,0.46,4000
445,2,41580,0.1,0.39,5000
446,1,78905,0.1,0.52,20000
447,2,92545,0.1,0.59,42000
448,8,9186,0.1,0.41,40000
449,4,-3211,0.1,0.43,4000
450,4,-3059,0.1,0.39,4000
451,4,-2703,0.1,0.36,4000
452,2,-280,0.1,0.26,4000
453,4,-422,0.1,0.15,4000
454,5,-322,0.1,0.11,2000
455,10,495,0.1,0.1,1000
456,2,-405,0.1,0.08,2000
457,6,390,0.1,0.05,0
458,5,-238,0.1,0.1,1000
459,10,104,0.1,0.15,1000
460,10,122,0.1,0.15,2000
461,1,20817,0.1,0.2,2000
462,10,1360,0.1,0.22,8000
463,10,-596,0.1,0.22,2000
464,9,-891,0.1,0.25,1000
465,5,-2747,0.1,0.38,3000
466,7,-2843,0.1,0.41,5000
467,3,2908,0.1,0.42,3000
468,6,-2622,0.1,0.46,9000
469,6,-2618,0.1,0.39,2000
470,1,75342,0.1,0.52,4000
471,1,95260,0.1,0.59,36000
472,6,10260,0.1,0.41,43000
473,10,-2605,0.1,0.43,5000
474,7,-2515,0.1,0.39,4000
475,5,-2620,0.1,0.36,4000
476,1,32491,0.1,0.26,4000
477,1,23415,0.1,0.15,19000
478,5,637,0.1,0.11,7000
479,8,218,0.1,0.1,2000
480,2,-390,0.1,0.08,1000
481,6,451,0.1,0.05,0
482,4,-367,0.1,0.1,1000
483,7,-278,0.1,0.15,0
484,8,-148,0.1,0.15,1000
485,4,-1195,0.1,0.2,1000
486,3,-1549,0.1,0.22,2000
487,4,-1413,0.1,0.22,2000
488,10,-750,0.1,0.25,2000
489,3,4282,0.1,0.38,3000
490,3,12421,0.1,0.41,9000
491,10,-232,0.1,0.42,12000
492,7,-3268,0.1,0.46,5000
493,9,-2300,0.1,0.39,5000
494,1,77240,0.1,0.52,5000
495,5,17660,0.1,0.59,29000
496,3,10274,0.1,0.41,11000
497,4,-1989,0.1,0.43,8000
498,10,-2058,0.1,0.39,5000
499,6,-2358,0.1,0.36,4000
500,2,2281,0.1,0.26,3000
501,1,1333,0.1,0.15,5000
502,4,626,0.1,0.11,3000
503,9,266,0.1,0.1,1000
504,5,39,0.1,0.08,1000
505,6,451,0.1,0.05,0
506,3,-399,0.1,0.1,2000
507,10,272,0.1,0.15,1000
508,9,41,0.1,0.15,2000
509,7,-766,0.1,0.2,2000
510,9,-648,0.1,0.22,2000
511,9,-869,0.1,0.22,2000
512,8,-1039,0.1,0.25,2000
513,6,-2456,0.1,0.38,2000
514,9,-2442,0.1,0.41,5000
515,10,-2311,0.1,0.42,3000
516,10,-2708,0.1,0.46,4000
517,4,-2757,0.1,0.39,5000
518,3,52464,0.1,0.52,4000
519,9,2264,0.1,0.59,18000
520,3,-1997,0.1,0.41,6000
521,10,-2300,0.1,0.43,6000
522,10,-2155,0.1,0.39,4000
523,10,-1775,0.1,0.36,3000
524,4,-1686,0.1,0.26,4000
525,1,10672,0.1,0.15,3000
526,10,1393,0.1,0.11,5000
527,7,155,0.1,0.1,1000
528,3,-365,0.1,0.08,2000
529,6,437,0.1,0.05,0
530,8,370,0.1,0.1,0
531,7,-332,0.1,0.15,0
532,2,-976,0.1,0.15,1000
533,10,-340,0.1,0.2,1000
534,9,-762,0.1,0.22,2000
535,5,-1226,0.1,0.22,3000
536,4,-1838,0.1,0.25,3000
537,10,-2006,0.1,0.38,3000
538,9,-2370,0.1,0.41,2000
539,5,-3013,0.1,0.42,3000
540,5,-3430,0.1,0.46,4000
541,3,1983,0.1,0.39,3000
542,6,-3906,0.1,0.52,6000
543,10,-3989,0.1,0.59,5000
544,4,-3171,0.1,0.41,6000
545,9,-2864,0.1,0.43,4000
546,10,-2182,0.1,0.39,4000
547,9,-1867,0.1,0.36,3000
548,2,-1463,0.1,0.26,4000
549,2,-708,0.1,0.15,4000
550,10,286,0.1,0.11,1000
551,8,272,0.1,0.1,0
552,1,-708,0.1,0.08,2000
553,6,491,0.1,0.05,0
554,3,-494,0.1,0.1,0
555,8,-153,0.1,0.15,0
556,6,-510,0.1,0.15,3000
557,4,-1212,0.1,0.2,1000
558,7,-983,0.1,0.22,2000
559,8,-824,0.1,0.22,2000
560,9,-932,0.1,0.25,1000
561,9,-2135,0.1,0.38,3000
562,4,-3082,0.1,0.41,3000
563,1,58207,0.1,0.42,6000
564,7,6766,0.1,0.46,25000
565,7,-2462,0.1,0.39,4000
566,10,-3239,0.1,0.52,3000
567,10,-4172,0.1,0.59,6000
568,1,56614,0.1,0.41,5000
569,6,6425,0.1,0.43,23000
570,4,-2938,0.1,0.39,4000
571,2,39421,0.1,0.36,3000
572,9,2824,0.1,0.26,19000
573,7,-336,0.1,0.15,4000
574,9,389,0.1,0.11,1000
575,5,-146,0.1,0.1,2000
576,10,657,0.1,0.08,2000
577,6,472,0.1,0.05,0
578,3,-460,0.1,0.1,1000
579,9,-51,0.1,0.15,1000
580,2,-950,0.1,0.15,1000
581,4,-1304,0.1,0.2,2000
582,5,-1249,0.1,0.22,4000
583,6,-1091,0.1,0.22,2000
584,10,-835,0.1,0.25,1000
585,2,35992,0.1,0.38,2000
586,9,4240,0.1,0.41,21000
587,8,-2557,0.1,0.42,3000
588,6,-3414,0.1,0.46,3000
589,7,-2721,0.1,0.39,5000
590,9,-3641,0.1,0.52,3000
591,3,63942,0.1,0.59,4000
592,9,4367,0.1,0.41,23000
593,3,5641,0.1,0.43,5000
594,4,993,0.1,0.39,11000
595,8,-2317,0.1,0.36,6000
596,1,29446,0.1,0.26,4000
597,2,6168,0.1,0.15,14000
598,10,339,0.1,0.11,1000
599,1,-747,0.1,0.1,2000
600,1,-642,0.1,0.08,1000
601,6,441,0.1,0.05,0
602,6,-42,0.1,0.1,0
603,9,-44,0.1,0.15,1000
604,4,-796,0.1,0.15,1000
605,6,-933,0.1,0.2,1000
606,3,-1494,0.1,0.22,1000
607,4,-1225,0.1,0.22,3000
608,3,-1896,0.1,0.25,1000
609,4,-2911,0.1,0.38,2000
610,10,-2337,0.1,0.41,4000
611,4,-3090,0.1,0.42,4000
612,5,-3448,0.1,0.46,4000
613,8,-2358,0.1,0.39,4000
614,3,33760,0.1,0.52,5000
615,8,564,0.1,0.59,13000
616,3,8114,0.1,0.41,8000
617,4,3155,0.1,0.43,11000
618,2,43846,0.1,0.39,5000
619,10,5057,0.1,0.36,26000
620,2,2149,0.1,0.26,4000
621,3,-1011,0.1,0.15,4000
622,4,-434,0.1,0.11,1000
623,3,-520,0.1,0.1,1000
624,10,774,0.1,0.08,1000
625,6,426,0.1,0.05,0
626,1,-827,0.1,0.1,0
627,5,-552,0.1,0.15,2000
628,7,-292,0.1,0.15,1000
629,6,-899,0.1,0.2,2000
630,1,24849,0.1,0.22,2000
631,2,14853,0.1,0.22,16000
632,4,-1656,0.1,0.25,4000
633,9,-2164,0.1,0.38,3000
634,6,-2806,0.1,0.41,3000
635,6,-2933,0.1,0.42,5000
636,4,-2417,0.1,0.46,4000
637,1,56942,0.1,0.39,8000
638,7,6906,0.1,0.52,22000
639,4,8609,0.1,0.59,7000
640,3,19535,0.1,0.41,15000
641,7,-177,0.1,0.43,8000
642,9,-2359,0.1,0.39,3000
643,6,-2367,0.1,0.36,5000
644,2,14258,0.1,0.26,3000
645,3,1556,0.1,0.15,11000
646,5,-277,0.1,0.11,0
647,7,19,0.1,0.1,1000
648,1,-506,0.1,0.08,1000
649,6,508,0.1,0.05,0
650,5,-191,0.1,0.1,1000
651,3,-961,0.1,0.15,1000
652,10,-69,0.1,0.15,1000
653,3,-1295,0.1,0.2,2000
654,2,-1682,0.1,0.22,2000
655,10,-628,0.1,0.22,4000
656,10,-849,0.1,0.25,2000
657,10,-1979,0.1,0.38,3000
658,4,-3050,0.1,0.41,3000
659,5,-3189,0.1,0.42,4000
660,4,-3545,0.1,0.46,4000
661,3,9632,0.1,0.39,4000
662,6,-1920,0.1,0.52,10000
663,9,-4050,0.1,0.59,6000
664,5,-2956,0.1,0.41,4000
665,5,-3243,0.1,0.43,5000
666,4,-2875,0.1,0.39,4000
667,2,30599,0.1,0.36,6000
668,6,3541,0.1,0.26,18000
669,3,-999,0.1,0.15,2000
670,10,335,0.1,0.11,0
671,5,-186,0.1,0.1,1000
672,8,455,0.1,0.08,1000
673,6,447,0.1,0.05,0
674,2,-659,0.1,0.1,0
675,4,-836,0.1,0.15,1000
676,4,-745,0.1,0.15,1000
677,8,-633,0.1,0.2,1000
678,3,-1543,0.1,0.22,2000
679,4,-1417,0.1,0.22,2000
680,1,30282,0.1,0.25,3000
681,2,48783,0.1,0.38,15000
682,8,4658,0.1,0.41,25000
683,1,56889,0.1,0.42,5000
684,4,14936,0.1,0.46,29000
685,5,-2921,0.1,0.39,8000
686,7,-3585,0.1,0.52,5000
687,5,-3579,0.1,0.59,5000
688,4,-3267,0.1,0.41,8000
689,5,-2934,0.1,0.43,6000
690,1,53175,0.1,0.39,3000
691,10,3763,0.1,0.36,24000
692,2,4406,0.1,0.26,3000
693,7,174,0.1,0.15,6000
694,9,312,0.1,0.11,2000
695,1,-756,0.1,0.1,1000
696,8,473,0.1,0.08,0
697,6,461,0.1,0.05,0
698,1,-725,0.1,0.1,0
699,10,109,0.1,0.15,1000
700,5,-621,0.1,0.15,2000
701,9,-402,0.1,0.2,1000
702,6,-1116,0.1,0.22,2000
703,8,-915,0.1,0.22,2000
704,7,-1195,0.1,0.25,2000
705,6,-2533,0.1,0.38,1000
706,2,31958,0.1,0.41,4000
707,7,3567,0.1,0.42,16000
708,3,40009,0.1,0.46,5000
709,2,53225,0.1,0.39,18000
710,1,78495,0.1,0.52,21000
711,10,11883,0.1,0.59,41000
712,5,-3005,0.1,0.41,6000
713,8,-2823,0.1,0.43,5000
714,9,-2293,0.1,0.39,4000
715,6,-2572,0.1,0.36,5000
716,1,34890,0.1,0.26,3000
717,9,2499,0.1,0.15,16000
718,8,203,0.1,0.11,1000
719,9,500,0.1,0.1,1000
